Question,Choice1,Choice2,Choice3,Answer
어떤 사람이 보더라도 같은 의미로 통할 수 있는 그림으로 된 언어체계를 가리키는 말은?,픽토그램,인스타그램,이 문제는 맞히지그램,1
잘게 다진 문어가 들어간 공 모양의 빵으로 일본의 대표 간식은?,오코노미야키,야키니쿠,타코야키,3
50m 달리기 대회에 출전한 또똣은 막 3등을 추월했다. 또똣은 지금 몇 등일까?,1등,2등,3등,3
조선시대 진경산수화를 창안하고 완성한 화가는?,정선,장승업,신윤복,1
"테니스에서 0점은 러브, 1점은 피프틴이라고 한다. 그렇다면 2점은 뭐라고 할까?",서티,포티,듀스,3
신라의 학자 최치원이 '이곳' 절경에 반해 돌에 자신의 호를 새겨 넣은데서 이름이 붙여진 부산의 명소는?,해운대,범어사,감천문화마을,1
노래'스승의 은혜'의 맨 마지막 구절의 가사로 올바른 것은?,아아 보답하리 스승의 은혜,아아 고마워라 스승의 은혜,아아 보답하리 스승의 사랑,1
"전화를 이용하는 뱅킹 서비스로, ARS를 통해 안내를 듣고 서비스코드를 누르는 방식은?",펌뱅킹,텔레뱅킹,인터넷뱅킹,2
피클(Pickle)은 무엇을 뜻할까?,절인 음식,발효 식품,곁들임 음식,1
우리나라에서 운행됐던 열차의 이름이 아닌 것은?,통일호,진달래호,비둘기호,2
5월 15일 스승의 날은 누구의 생일일까?,세종대왕,흥선대원군,광개토대왕,1
다음중 세계 3대 박물관의 이름과 위치한 나라가 잘못 짝지어진 것은?,영국 - 대영 박물관,미국 - 뉴욕 주립박물관,프랑스 - 루브르 박물관,2
"사물, 사건, 사람 등의 특징을 잡아 희극적으로 풍자한 글이나 그림 또는 그런 표현법은?",캐리커처,스노우,포토샵,1
"관직 없이 한가롭게 사는 이', '돈 잘쓰고 잘 노는 이'를 비유적으로 이르는 이 말은?",백수,한량,우리오빠,2
게임 <슈퍼마리오>에서 마리오의 직업은?,자동차 정비사,정원사,배관공,3
게맛살의 주원료는?,명태,꽃게,오징어,1
아이돌 그룹 EXO의 노래 <으르렁>에서 '으르렁'이라는 가사는 몇 번 나오는가?,3번,36번,63번,2
빛의 3원색은?,"빨강, 초록, 파랑","노랑, 초록, 파랑","빨강, 노랑, 파랑",1
요즘 각종 상품 등에 자주 사용되는 '나노'의 어원은?,개미,난쟁이,먼지,2
알라딘의 요술 램프'의 알라딘은 어느나라 사람일까?,중국,태국,아랍,1
남자 아이돌 3대 인기그룹 'EBS'에 속하지 않는 팀은?,EXO,BTS,송골매,3
"<직찍, 망원렌즈, 통장> 에서 공통적으로 연상되는 것은?",물총,대포,로켓,2
다음중 리더가 없는 그룹은?,슈퍼주니어,트와이스,블랙핑크,3
다음중 원곡이 여성 그룹의 곡인것은?,레드벨벳<비내츄럴>,소녀시대<소녀시대>,빅뱅<붉은 노을>,1
시상식에 전통적으로 '빨간색'카펫을 깔게 된 이유는?,행운의 색이라서,가장 비싸서,때가 잘 안타서,2
"1억을 숫자로 쓸 때 찍는 쉼표(,)의 개수는?",2개,3개,4개,1
다음 중 개인의 숨은 돈을 찾을 수 없는 웹사이트는?,서민금융1332,파인,정부24,1
이온음료 '포카리스웨트'에는 어떤 과실즙이 들어갈까?,레몬,자몽,복숭아,2
국내에는 '수플OOO팔랑나비'가 있다. 다음 중 빈칸에 들어갈 알맞은 말은?,떠들썩,화들짝,후다닥,1
"삼국지에서 유비, 관우, 장비가 '도원결의'를 맺은 장소는?",복숭아 밭,아이스크림 가게,단체 채팅방,1
베스킨라빈스31데이에 '사이즈업' 혜택을 받을 수 있는 사이즈는?,파인트,쿼터,패밀리,3
2018년의 마지막 날짜는?,12월30일,12월30일,12월32일,2
세안 후 피부결을 정돈해주는 화장품 토너는 주로 '이것'으로 불린다. 무엇일까?,스킨,로션,크림,1
베스킨라빈스에서 제품 구매 시 적립 가능한 포인트의 명칭은?,해피포인트,배라포인트,핑크포인트,1
"조선시대 얼음의 채취, 보존, 출납을 맡아본 관청이 아닌 것은?",서빙고,동빙고,남빙고,3
백제의 31대 왕이자 마지막 왕인 '의자왕'의 이름은?,의자,의,자,1
배스킨라빈스의 아이스크림 '엄마는 외계인'의 영문명은?,Mom is an alienn,Dad is a person,Puss in Boots,3
다음 중 '술래'가 없는 놀이는?,숨바꼭질,가위바위보,무궁화 꽃이 피었습니다,2
영어단어 'Sweet'이 들어있지 않은 것은?,스위트콘,스위트룸,스위트스폿,2
음식 '오소리감투'는 무엇일까?,오소리의 위,소의 위,돼지의 위,3
다음 중 인도네시아에서 한글을 표기 문자로 채택한 민족은?,치르치르족,바우바우족,찌아찌아족,3
고려시대 가요<쌍화점>에서 '쌍화점'은?,술집,한약방,만두가게,3
기성용 선수는 뉴캐슬에서 등번호 몇번을 받았을까?,4번,6번,16번,1
1994년 전국 평균 폭염 일수는 며칠이었을까?,34.2일,31.1일,30일,2
다음 중 국내에서 종사자 수가 제일 많은 자영업 업종은 무엇일까?,커피숍,치킨집,편의점,3
홍길동이 가난한 사람들을 구제하기 위햏 만든 것은?,홍치당,활빈당,골빈당,2
"<따릉이, 페달로, 오포>눈 무엇의 종류일까?",공공주택,공공화장실,공공자전거,3
소설 <레미제라블>에서 장발장이 미리엘 주교의 집에서 훔친 것은?,빵,은식기,은촛대,2
"속담 ""되는 집에는 가지 나무에 ( )가 열린다"" 에서 빈칸은?",수박,사과,호박,1
국내에서 드론으로 실제 우편물이 배달된 최초의 지역은?,독도,득량도,제주도,2
닭은 다음 중 어디에 속할까?,닭과,꿩과,메추리과,2
"일이 흐지부지 되었을 때 ""계획이 ( )나다""라고 한다. 빈칸은?",파토,파투,파호,2
모기의 암컷이 흡혈에 이용하는 침은 몇 개 일까?,1개,3개,6개,3
에어컨 냉각수에 서식하며 '냉방병'을 유발하는 균은?,갈리오넬라,베일로넬라,레지오넬라,3
"""산 위에서 부는 바람 서늘한 바람~"" 으로 시작되는 동요 제목은?",2번 선택 바람,산바람 강바람,2번 선택 바람,2
얼굴을 가면으로 가린 괴신사가 프리마돈나를 사랑하게 되는 뮤지컬은?,오페라의 유령,오페라의 귀신,오페라의 좀비,1
다음 중 공포영화가 아닌 것은?,장화홍련,여고괴담,클레멘타인,3
태양계의 행성 중 외계 생물체가 있을 것으로 추정되는 이 행성은?,화성,금성,수성,1
영어 'Cold case'가 의미하는 것은,감기약 봉지,미해결 사건,빙산의 일각,2
지구가 태양 빛을 가려 달이 지구의 그림자 속으로 완전히 사라지는 현상은?,개기 일식,부분 월식,개기 월식,3
크고 작은 악재들이 동시다발적으로 일어나는 경제 현상을 부르는 용어는?,닥터 둠,더블 딥,퍼펙트 스톰,3
아제르바이잔의 전통 목욕법은 '이것'으로 반신욕을 하는 것이다. 이것은?,석유,초콜릿,모래,1
개기월식때 달이 붉게 보이는 현상은?,애플 문,블루 문,블러드 문,3
동요<나비야>에서 나오지 않는 나비는?,노랑나비,호랑나비,흰나비,2
살이 많다'는 의미를 가진 형용사는?,살지다,살피다,살찌다,1
<어린왕자>로 유명한 생텍쥐페리의 직업이 아닌 것은?,건축가,비행사,소설가,1
"경상도 사투리 ""쌔빠지게 일하다""에서 ""쌔""는?",눈,코,혀,3
국가 비상사태 시에 군사권을 발동하여 치안을 유지하는 대통령의 고유권한은?,계엄령,한계령,대관령,1
천 속에 고무주루를 넣어서 머리를 묶는 도구 OO밴드. 빈칸은?,쓸개,순대,곱창,3
재테크의 한 형태로 시간을 돈으로 인식하고 관리하는 것을 부르는 말은?,세테크,혼테크,시테크,3
식용유로 쓰이는 '카놀라유'는 무엇으로 만들까?,현미의 껍질,유채꽃의 씨앗,기름야자의 잎,2
사자성어 '적반하장'의 '적'의 뜻으로 알맞은 것은?,원수,몽둥이,도둑,3
극지방에서 여름에 해가 지지 않는 것은 '백야'다. 겨울에 해가 뜨지 않는 것은?,흑야,극야,전야,2
"인도, 호주 등 열대성 기후 지역에 매장되어있는 알루미늄의 원료는?",보크사이트,텅스텐,니콜라이트,1
일반적으로 추운 곳에 사는 사람이 몸의 크기가 더 크다는 법칙은?,앨런의 법칙,베르그만의 법칙,글로거 법칙,2
하하와 스컬이 속한 그룹의 새 팀명은?,야인,하스쿠나,레게 강 같은 평화,3
반려동물 할 때 '반려'의 사전적 의미는?,평생 함께 할 동무,짝이 되는 동무,사랑하는 동무,2
자신의 성공이 노력이 아닌 운으로 얻어졌다 생각하며 불안해하는 현상은?,가면 증후군,행운 증후군,거품 증후군,1
다음 중 철의 100배 강도를 가지고 있는 물질은?,물놀이 튜브,자전거 튜브,탄소 나노 튜브,3
이것은 아이들을 벌 줄 때 쓰는 도구이다. 이것의 이름은?,회초리,주리,젓가락,1
영어로 '그리스도 이전'을 뜻하는 'BC'를 우리말로 하면?,응원전,기원전,탈원전,2
우리 몸에서 자외선을 차단하고 피부색을 결정하는 색소는?,트레오닌,페닐알라닌,멜라닌,3
개의 품종 중 닥스훈트는 '이것 사냥'을 뜻하는 말이다. '이것'은?,오소리,더위,마녀,1
"훈민정음에서 'ㄱ,ㅇ,ㅋ,ㄲ'은 무슨 소리로 분류될까?",어금닛소리,입술소리,헛소리,1
다음 중 숫자는?,양세형,감호동,아승기,3
현재 정부가 지정한 '무더위 쉼터'에 포함되어 있는 곳은?,국민은행,스타벅스,서울대학교,1
프랑스 소설가 '베르나르 베르베르'의 작품이 아닌것은?,개미,고양이,나비,3
다음 중 여행자들이 저렴한 가격으로 묵을 수 있는 숙박 시설은?,화이트하우스,게스트하우스,비닐하우스,2
속담 '마른 OOO 날벼락' 빈칸에 알맞은 말은?,오징어,파이브,하늘에,3
열기도 더해지고 끈적끈적해서 활동하기가 힘든 날은 무엇이 높을까?,불쾌지수,콧날,수준,1
우리나라의 전통 음료로 계피를 달인 물에 꿀을 넣어 만드는 것은?,식혜,매실차,수정과,3
웹사이트 주소를 등록해놓고 다음에 쉽게 다시 연결할 수 있는 기능은?,방문기록,북마크,확장 프로그램,2
"<광장, 회색인, 소설가 구보씨의 일일> 등을 집필한 소설가는?",최인훈,이청준,김승옥,1
현재 미혼 남성을 뜻하는 '총각'은 조선시대의 '이것'이었다. '이것'은?,옷,직업,헤어스타일,3
외모가 개인 간의 우열과 성패를 가름한다고 믿는 외모지상주의는?,쁘띠즘,루키즘,핸섬니아,2
"어떤 음식을 먹고 불쾌함을 경험할 경우, 이후 그 음식을 먹지 않는 현상은?",가르시아 효과,프레이밍 효과,닻내림 효과,1
미국에는 '( )'만을 치료하는 병원이 있다. 빈칸은?,술병,향수병,상사병,1
자동차 번호판 가운데 한글은 무엇을 의미할까?,차량의 크기,차량의 용도,차량의 등록지역,2
채소의 '샐러리'는 영어로?,Salary,Selary,Celery,3
국내 최대규모의 해바라기 축제가 열리는 이곳은 어디일까?,곡성,부여,태백,3
"링거주사를 맞고 나서, 혈관에 꽂혀있는 것은?",스테인리스 바늘,실리콘 튜브,둘 다 ,2
다음 중 산에서 약수를 마실 수 있도록 만들어 둔 장소는?,약수터,구청 로비,땀샘,1
주택이나 빌딩 건물 맨 꼭대기에 설치된 주거공간은?,반지하,옥탑방,찜질방,2
다음 중 침대의 규격이 아닌 것은?,킹,퀸,프린스,3
"불교에서 머리 3개, 팔 6개가 달린 모습으로 묘사되는 수호신은?",아수라,야차,옥황상제,1
롤러코스터는 어떤 놀이에서 유래되었을까?,그네타기,미끄럼틀 타기,시소 타기,2
짧은 멜로디로 브랜드 이미지를 각인시키는 마케팅 기법은?,링톤마케팅,징글마케팅,티저마케팅,2
그리스 신화 속 '판도라의 상자'는 원래 무엇이었을까?,금고,주머니,항아리,3
평상시에도 재난을 위한 생존대비를 하는 사람들을 일컫는 말은?,프레퍼족,세이버족,레이오프족,1
이전의 성공이 다음번의 성공으로 이어질 것이라고 믿는 인지적 편향은?,뜨거운 손 현상,도박사의 오류,스트룹 효과,1
"도로교통법상 ""어린이통학버스""에서 '어린이'는 ( )세 미만이다. 빈칸은?",8,10,13,3
다음 중 태풍과 더불어 세계 3대 강풍으로 꼽히는 게 아닌 것은?,허리케인,블리자드,사이클론,2
좁쌀'이라는 뜻의 사명을 쓰는 중국 기업은?,샤이니,샤오미,샤샤샤,2
다음 중 유재석이 출연한 적 없는 방송사는?,KBS,JTBC,tvN,3
다음 중 유효기간이 없는 것은?,병원 처방전,주민등록증,항공사 마일리지,2
다음 중 신용점수를 올리는데 도움을 주는 방법으로 적절하지 않은 것은?,신용등급 조회,연체없이 신용카드 사용,현금서비스 사용,3
다음 중 미국 비영리재단의 강연회로 유명인의 강연 영상을 무료로 공개하는 곳은?,ETS,YBM,TED,3
대형 스포츠 이벤트에서 기업이 공식 후원사인 것처럼 벌이는 마케팅은?,컨시어지 마케팅,엠부시 마케팅,프리라이딩 마케팅,2
KTX 이용시 일반식 좌석을 특실로 업그레이드 받을 수 있는 사람은?,임산부,수능 당일 수험생,기초생활 수급자,1
다음 중 우리나라에서 실제로 존재하지 않는 전철 역명은?,야당역,노은역,대리역,3
"설화 '견우와 직녀'에서 견우는 이것을 키우는 목동인데, 이것은 무엇일까?",개,소,양,2
다음 중 태풍이 가진 좋은 영향이 아닌 것은?,물부족 해소,폭염,적조 현상 해결,2
병원이나 의원 등에서 환자의 치료와 진료를 돕는 직업은,간호사,환자,보호자,1
건강보험공단에서 국민의 질환 예방과 조기발견을 목적으로 실시하는 것은?,일반건강검진,구속수사,사회봉사명령,1
다이어트 기간 동안 먹고 싶은 것을 참다가 마음껏 먹는 날은?,메이데이,디데이,치팅데이,3
"단순히 오락목적으로 사자, 코뿔소 등 대형 야생동물을 사냥하는 행위는?",트로피컬 슈팅,헌팅 트로피,트로피 헌팅,3
아들과 딸을 1명씩 둔 사람은 '슬하 1남1녀'라고 한다. 슬하는?,무릎아래,허리아래,어깨아래,1
음악 장르 '발라드'의 어원은?,말하다,춤추다,사랑하다,2
디스플레이가 접히는 스마트폰을 부르는 말은?,폴더폰,폴더블폰,클로징폰,2
다음 중 실제로 오를 수 없는 산은?,팔공산,맛동산,비슬산,2
축구를 뜻하는 단어가 아닌 것은?,Soccer,baseball,football,2
<프로듀스48>에 출연하지 않는 사람은?,집밥 백선생,댄스 트레이너 배윤정,국민 프로듀서 대표 이승기,1
본인 의지와는 상관없이 횡격막 근육과 갈비뼈 사이 근육이 수축을 반복하며 숨 쉴때 소리가 나는 증상은?,재채기,트림,딸국질,3
리버풀 출신 청년들이 모여 결성한 전설적인 팝그룹 '비틀즈'의 멤버가 아닌 사람은?,존 레논,로저 테일러,조지 해리슨,2
다음 보기 중 입헌군주제 국가는?,아르헨티나,모로코,프랑스,2
2017년 영국의 IWSR이 발표한 세계 증류주 판매량 1위 기업은?,바카디 럼,조니 워커,하이트 진로,3
명왕성의 서양권 이름인 플루토는 그리스 신화 속 이 '신'의 로마식 이름이다. 이 '신'은 누구인가?,하데스,아폴론,헤파이스토스,1
세계 항공사에서 시행했던 이색 기내 서비스가 아닌 것은?,기내온천-일본JAL항공,삼성기어VR -호주콴타스항공,플라잉매직쇼-한국아시아나항공,1
예능 '효리네 민박'의 배경이 되었던 집의 소유권은 누구한테 있을까?,이효리,이상순,JTBC,3
졸업사진 패러디의 원조로 유명한 고등학교는?,동두천고,의정부고,경기예고,2
도시가 관광객으로 인해 고유의 특색을 잃는 것을 일컫는 용어는?,디즈니피케이션,맥도날디제이션,젠트리피케이션,1
거대 기업은 위기에 처해도 쉽게 망하지 않는다는 의미를 가진 사자성어는?,백금불형,소이부답,대마불사,3
윗사람이 잠에서 깨어 일어남'을 뜻하는 말은?,재채기,기침,에취,2
"친구가 ""나 더위 먹었어.""라고 말했다. 무슨 뜻일까?",배가 너무 고파,너도 먹을래?,기운이 없어,3
사자성어 '오비삼척'과 뜻이 같은 속담은?,내 코가 석 자,욘석! 어서 자!,까마귀 날 자,1
미국에서는 통학 차량의 가장 뒷자리에 버튼을 설치해야 한다. 이 제도는?,슬리핑 차일드 체크,라스트 체어 체크,에브리바디 체크,1
재봉틀에서 바느질감을 눌러주는 부속을 부르는 말은?,노루귀,노루발,노루목,2
태평양과 대서양을 잇는 운하로 유명한 나라는?,파나마,과테말라,코스타리카,1
실제로 일어날 가능성이 적은 일을 과도하게 걱정하는 증상은?,파랑새 증후군,UFO 증후군,램프 증후군,3
다음 중 제습제로 쓰이지 않는 것은?,염화칼슘,이산화규소,글리코겐,3
인흥찐빵으로 유명한 '안흥'의 위치는?,경기도,강원도,전라도,2
다음 중 멤버 구성원 수가 다른것은?,파워레인저,닌자 거북이,텔레토비,1
해양수산부가 지정한 대하를 잡을 수 없는 달은?,6월,7월,8월,1
토양의 상태에 따라 색이 변하는 꽃은?,수국,튤립,장미,1
"""산OO OO야 어디를 가느냐"" 빈칸에 들어갈 동요 '산토끼'의 가사는?",도끼,Dok2,토끼,3
다음 중 흑인 음악에 속하지 않는 장르는?,가스펠,재즈,트로트,3
예능 프로그램 <고등래퍼2>의 우승자는?,김영옥,김하온,장문복,2
서울 올림픽 공원에 없는 경기장은?,수영 경기장,핸드볼 경기장,야구 경기장,3
다음 중 예능 프로그램 <나 혼자 산다>에 출연 한 적이 없는 사람은?,헤이즈,창모,쌈디,2
주위에 사람이 많을수록 어려움에 처한 사람을 도와주는 걸 주저하게 되는 현상은?,제노비스 신드롬,사마리아인 신드롬,아폴로 신드롬,1
다음 중 여성 작가의 작품은?,지킬박사와 하이드,프랑켄슈타인,드라큘라,2
아주 기이하고 엉뚱한 생각'을 사자성오로 하면?,성주참외,기상천외,날씨문의는 기상청에,2
어떤것이 급격하게 커졌을 때 사용하는 말이 아닌 것은?,급성장,폭풍성장,산송장,3
"""왜 이렇게 사진발이 안 받지? 너는 OO이 훨씬 낫다"" 빈칸에 적절한 것은?",얼굴보다 발,실물,뒤통수에 난 점,2
대한민국 헌법 제 1조 1항 '대한민국은 ( )이다.' 빈칸에 올바른 말은?,민주공화국,민주주의 인민공화국,사회주의 국가,1
다음 중 '역류성 식도염'을 예방하기 위한 방법이 아닌 것은?,야식을 먹지 않는다,담배를 피지 않는다,침을 삼키지 않는다,3
설화속에 존재하는 '무엇이든 넣기만 하면 계속 늘어나는 보물단지'는?,용린,보은박,화수분,3
지상 5~7km 높이 대기권에 있는 고기압 때문에 더위가 심해지는 현상은?,열돔 현상,열섬 현상,열기구 현상,1
음흉하고 심술궃게 욕심부리는 짓'을 뜻하는 순 우리말은?,뭉치,몽짜,멍지,2
다음 중 동물 '늑대'가 나오지 않는 영화는?,늑대의 유혹,늑대와 춤을,늑대의 후예들,1
일반적으로 고양이 발바닥의 말랑말랑한 부분을 부르는 말은?,슬라임,젤리,캔디,2
바다거북이는 ( )에 따라 성별이 결정된다. 빈칸은?,외부 온도,바다의 수질,모래의 냄새,1
곤충 귀뚜라미의 '귀'가 위치한 곳은?,머리,몸통,다리,3
"일반적으로 자동차를 주차 한 후, 문을 열다가 옆 차를 찍는 것을 부르는 말은?",문 콕!,문 와장창!,문 쾅쾅파악!,1
"둘리 주제곡 ""OO 타고 내려와~친구를 만났지만~"" 빈칸에 알맞은 가사는?",썰매,버스,빙하,3
세계적으로 퇴출되고 있는 '플라스틱 빨대'의 친환경 대체품이 아닌 것은?,먹는 빨대,쇠파이프,종이 빨대,2
다음 중 실제로 존재하는 대학교는?,청와대,낙성대,청화대,3
"전세가와 매매가의 차이가 적을 때, 적은 자본으로 건물을 구매하는 투자는?",하우스푸어 투자,갭 투자,렌트 투자,2
SNS에서만 호응하고 실제 행동에는 무관심한 경향을 나타내는 말은?,소셜티비즘,슬랙티비즘,히든라이크,2
우리나라의 국기는 태권도! 미국의 국기는 야구! 벨기에의 국기는?,축구,당구,체스,2
속담 '열 길 물속은 알아도 한 길 사람 속은 모른다.' 에서 길의 길이는?,사람 키 정도,팔 하나 정도,발에서 허리 정도,1
다음 중 공주 신분이 아닌 사람은?,인어공주,백설공주,엄지공주,3
그리스 신화에 나오는 신들 중 '음악의 신'은?,아폴론,아테네,아르테미스,1
대한민국 소년법에서 '소년'은?,13세 미만,15세 미만,19세 미만,3
사람의 이름을 딴 상이 아닌 것은?,그래미상,퓰리처상,노벨상,1
다음 중 향수의 향이 아닌 것은?,머스크향,시트러스향,모기향,3
"몹시 추운 시기는 혹한기, 몹시 더운 시기는?",몹더시,혹서기,사춘기,2
야무지지 못하고 말이나 하는 짓이 답답한 사람을 놀림조로 이르는 말은?,맹꽁이,두꺼비,개구리,1
다음 중 <복면가왕>에 '복면가수'로 출연하지 않았던 사람은?,신봉선,송민호,신고은,2
2019년 최저임금은?,8130원,8350원,8680원,2
국내에서 오토바이 운전 시 안전모를 착용하지 않으면 부과되는 범칙금은?,"5,000원","10,000원","20,000원",3
다음 중 '솜을 두어 지은 바지'를 부르는 말은?,막바지,핫바지,이바지,2
첫인상이 좋지 못한 사람도 계속 보다보면 호감이 된다는 심리 효과는?,에펠탑 효과,자유의 여신상 효과,빅벤 효과,1
프랑스 혁명의 주체가 된 사람들은?,부르주아,부르마블,부르지마,1
다음 중 국내 감별사 직업으로 없는 것은?,위조지폐 감별사,커피 감별사,비둘기 감별사,3
노트북 컴퓨터 자판의 키와 그 의미가 잘못 연결된 것은?,Esc - Escape,Ctrl - Control,Fn - Find,3
축구에서 경기 도중 '쿨링브레이크'를 가질 수 있는 경우는?,너무 추울 때 ,너무 더울 때,바람이 거셀 때,2
해버지' 박지성의 맨유시절 등번호는?,7번,13번,23번,2
"동요 ""떴다 떴다 비행기~~""는 원래 어느 나라 동요일까?",미국,캐나다,프랑스,1
세계에서 가장 긴 산맥은?,히말라야 산맥,안데스 산맥,로키 산맥,2
쓸데없는 이야기로 이러쿵 저러쿵 하는 모양'은?,개코쥐코,쥐코새코,새코개코,1
파운드케이크란 이름의 유래는?,가격이 1파운드이다,무게가 1파운드이다,재료가 1파운드 들어간다,3
수영을 못하는 사람이 구명조끼가 없을 때 이용 할 수 있는 것은?,질소가 없는 과자봉지,구명조끼,질소 포장된 과자봉지,3
바다의 카멜레온'으로 몸의 색을 기분에 따라 바꾸는 동물은?,문어,멍게,해파리,1
컴퓨터로 동영상 재생 시 모든 소리 크기를 비슷하게 만들어 주는 기능은?,프리셋,이퀄라이저,노멀라이저,3
현재 배터리에 사용되는 액체 전해질을 고체로 만든 차세대 배터리는?,리튬에어 배터리,전고체 배터리,징크 배터리,2
다음 '반 고흐'의 작품 중 그가 살아있을 때 팔린 작품은?,아를의 붉은 포도밭,귀가 잘린 자화상,파리의 지붕들,1
일과 삶의 균형을 뜻하는 'Work and ( )balance'의 빈칸은?,live,life,love,2
식비를 줄이기 위해 냉장고 속 남은 재료로 해 먹는 행위를 일컫는 신조어는?,냉장고 파먹기,냉장고 청소,냉장고 골라담기,1
여전히 장롱면허를 가진 당신! 먼허 갱신은 몇 년 주기일까?,8년,10년,12년,2
작은 걸음으로 가볍고 힘차게 걷는 모양'을 나타내는 순 우리말은?,발맘발맘,앙큼상큼,짜박짜박,2
해외 사이트 물품 구매시 이용하는 '배대지'는 무엇의 줄임말일까?,내 배 되게 크지?,배송대행지,내 배 되게 작지?,2
회사 면접을 보러 가는 당신! 다음중 면접용으로 적절한 옷은?,우비와 장화,롱패딩과 털모자,깔끔한 정장,3
여름철 필수 아이템! 땀이나 물에 잘 지워지지 않는 화장품은?,워터프루프 제품,안티에이징 제품,화이트닝 제품,1
휴가를 보내는 방법 중 책과 관련 없는것은?,북케이션,북캉스,북한산 등반,3
다음 중 건전지 규격 중 가장 크기가 큰것은?,AA,AAA,AAAA,1
다음 중 '오랫동안 오던 비가 말끔히 갬' 이라는 뜻을 가진 단어는?,제출,신청,접수,2
"엔테로 바이러스'가 주 원인이며 발열, 두통 등 증상이 감기와 비슷한 병은?",뇌수막염,수족구병,심근염,1
커피를 마시면 이 영양소의 체내 흡수가 방해르 받는다. 무엇일까?,나트륨,니코틴,철분,2
"컴퓨터 장애를 대비하기 위해 두 대의 컴퓨터를 설치, 운용하는 시스템은?",듀얼시스템,멀티플렉스,다중처리시스템,1
"다음 중 테니스, 축구 등 구기 종목에서 사용하는 비디오 판독 시스템은?",호크아이,이글아이,스위프트아이,1
소리 없이 예쁘장하게 조금 입을 벌리고 웃는 모양을 뜻하는 우리말은?,둥싯,햇싯,봉싯,3
신생아기에 붙어 있던 탯줄이 떨어지면서 남은 흉터 부위는?,땀구멍,배꼽,씻을 수 없는 상처,2
빅뱅 이론의 강력한 증거가 되는 '이것'은?,우주 배경 복사,우주 배경 붙여넣기,우주 배경 화면,1
인터넷 상에서 신분을 확인하기 위해 쓰이지 않는 것은?,아이핀,공인인증서,호패,3
